h‘bîvñNg¡
íVŠÊ(©&1¡ÿHù:‘Temperature, Pressure, Humidity, Gas, Altitude, TVOC, eCO2, Raw_H2, Raw_Ethanol 
27.70, 1011.22, 70.39, 3.94, 16.83, 0, 400, 14346, 18801
27.53, 1011.25, 69.30, 3.85, 16.66, 0, 400, 14348, 18859
27.04, 1011.24, 69.45, 3.89, 16.75, 0, 400, 14341, 18889
26.75, 1011.25, 69.59, 3.98, 16.58, 0, 400, 14351, 18927
26.58, 1011.27, 69.69, 4.10, 16.41, 0, 404, 14345, 18965
26.47, 1011.29, 69.72, 4.21, 16.41, 0, 415, 14344, 18993
26.40, 1011.29, 69.74, 4.34, 16.33, 0, 412, 14344, 19038
26.36, 1011.28, 69.71, 4.47, 16.41, 0, 418, 14343, 19055
26.33, 1011.28, 69.71, 4.59, 16.41, 0, 413, 14340, 19083
26.31, 1011.27, 69.83, 4.71, 16.58, 0, 411, 14339, 19116
26.28, 1011.26, 69.94, 4.84, 16.66, 0, 419, 14335, 19138
26.27, 1011.27, 69.95, 4.97, 16.50, 0, 424, 14338, 19169
26.24, 1011.27, 69.95, 5.09, 16.58, 0, 423, 14338, 19184
26.22, 1011.26, 69.95, 5.23, 16.58, 0, 424, 14331, 19208
26.21, 1011.25, 69.89, 5.36, 16.66, 0, 435, 14326, 19224
26.20, 1011.26, 69.84, 5.46, 16.66, 0, 439, 14320, 19234
26.20, 1011.25, 69.85, 5.59, 16.58, 0, 441, 14318, 19248
26.19, 1011.26, 69.78, 5.72, 16.58, 0, 449, 14318, 19259
26.18, 1011.26, 69.80, 5.84, 16.50, 0, 443, 14316, 19287
26.17, 1011.27, 69.84, 5.90, 16.50, 0, 443, 14317, 19310
26.16, 1011.27, 69.83, 6.06, 16.41, 0, 447, 14308, 19306
26.15, 1011.27, 69.77, 6.18, 16.33, 0, 441, 14314, 19336
26.14, 1011.29, 69.62, 6.31, 16.33, 0, 442, 14313, 19339
26.13, 1011.27, 69.58, 6.43, 16.41, 0, 450, 14308, 19354
26.12, 1011.26, 69.52, 6.56, 16.58, 0, 445, 14310, 19366
26.10, 1011.27, 69.47, 6.70, 16.50, 0, 444, 14315, 19386
26.08, 1011.26, 69.49, 6.81, 16.50, 0, 445, 14311, 19405
26.07, 1011.26, 69.55, 6.93, 16.50, 0, 449, 14313, 19404
26.06, 1011.27, 69.64, 7.05, 16.50, 0, 454, 14311, 19419
26.05, 1011.27, 69.71, 7.20, 16.41, 0, 446, 14314, 19426
26.03, 1011.28, 69.69, 7.31, 16.41, 0, 440, 14315, 19445
